SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Sr,Y,Rb,Ba,Hf,Nb,Ta,Th,Crustal_Thickness
58.53,0.67,17.92,5.84,0.11,4.65,6.67,4.36,1.09,0.17,9.33,19.49,2.51,11.19,2.96,0.96,2.87,0.47,2.96,0.62,1.63,0.24,1.57,0.25,501,16,15,417,2.83,3,0.2,1.33,23.07
58.19,0.8,17.61,6.19,0.12,4.18,7.1,4.45,1.17,0.19,11.1,23.3,3,13.3,3.41,1.13,3.38,0.54,3.24,0.67,1.84,0.26,1.7,0.26,596,18,16.2,417,2.99,3.35,0.23,1.5,23.14
61.31,0.64,17.81,5.07,0.1,2.77,5.95,4.72,1.41,0.21,12.2,25.2,3.11,13.5,3.27,1.03,3.06,0.5,3.05,0.61,1.73,0.25,1.65,0.27,579,17.1,20,498,3.43,3.52,0.27,1.9,23.14
75.14,0.3,13.05,1.85,0.07,0.46,1.45,3.62,4.05,0.02,41.5008,74.7103,8.19407,27.9555,5.47035,0.976209,5.0358,0.820914,5.0885,1.12857,3.33841,0.52382,3.4768,0.533013,142.395,30.8743,92.4042,873.09,4.12808,14.7858,0.814036,18.0736,23.16
70.24,0.38,14.53,3.06,0.06,1.23,3.07,3.71,3.63,0.07,34.1421,56.4106,5.68044,18.0218,3.14972,0.741981,2.74238,0.430742,2.62487,0.58162,1.7123,0.270498,1.82673,0.284988,221.402,15.7604,114.187,876.015,3.0581,11.9733,0.714072,15.7372,23.16
64.39,0.8,16.14,5.43,0.19,0.62,2.06,6.22,3.95,0.22,94.01,166.13,18.08,70.4,13.72,3.91,12.43,2.1,11.44,2.26,6.49,0.94,5.64,0.85,181,53.2,66,1020,14.38,118.7,9.01,10.74,23.19
61.16,0.62,17.89,5.07,0.11,2.75,5.91,4.79,1.47,0.22,12.5,25.6,3.22,13.6,3.17,1.07,3.01,0.49,2.85,0.59,1.61,0.24,1.52,0.25,591,15.9,20.7,519,3.27,3.22,0.23,1.8,23.21
59.56,0.67,17.95,5.68,0.11,3.77,6.45,4.46,1.18,0.17,9.8,20.33,2.56,11.25,2.87,0.94,2.81,0.46,2.87,0.59,1.62,0.24,1.52,0.24,554,17,16,390,2.89,3,0.21,1.33,23.21
57.84,0.8,17.93,6.23,0.12,4.33,7,4.27,1.26,0.23,12.57,26.35,3.37,14.8,3.59,1.17,3.38,0.54,3.22,0.64,1.81,0.26,1.62,0.26,655,18,16,413,3.15,5,0.21,1.45,23.21
58.4,0.78,17.53,6.23,0.12,4.33,6.81,4.46,1.13,0.21,10.75,22.72,2.93,12.99,3.37,1.08,3.22,0.53,3.2,0.64,1.82,0.26,1.62,0.26,586,18,15,370,2.98,6,0.23,1.42,23.21
57.81,0.79,18.1,6.16,0.12,4.2,7.01,4.28,1.32,0.22,12.61,26.65,3.45,14.94,3.58,1.2,3.32,0.53,3.21,0.65,1.73,0.26,1.65,0.26,646,19,16,401,3.15,3,0.22,1.66,23.21
58.6,0.77,17.63,6.21,0.12,4.25,6.88,4.19,1.15,0.21,11.02,23.13,2.97,13.12,3.29,1.1,3.14,0.52,3.15,0.64,1.75,0.26,1.65,0.26,576,19,16,376,3.05,4,0.26,1.42,23.21
62.49,0.59,17.92,4.3,0.08,2.88,7.23,3.94,0.45,0.12,6.68,11.9,1.68,7.67,2.05,0.72,2.13,0.34,2.11,0.43,1.23,0.16,1.02,0.15,536,11.7,13.3,309,1.49,2.93,0.18,0.68,23.23
64.39,0.71,16.17,5.48,0.21,0.51,1.65,6.31,4.35,0.2,75.3,142,16.5,55.4,11.6,3.68,9.4,1.68,9.9,1.84,5.46,0.832,5.35,0.817,190,55.4,75,1126,13.9,129,8.5,11.2,23.23
64.11,1,15.03,6.57,0.24,0.76,1.97,5.95,4.09,0.28,74.9,137,15.4,62.4,12.9,4.51,11.8,1.95,10.5,2.03,5.97,0.827,4.9,0.74,111,49.5,49,1377,10.8,112,6.91,7.7,23.24
62.58,0.58,18.18,4.94,0.1,2.65,6.4,2.89,1.54,0.12,26.0651,42.346,5.92746,23.2602,4.72237,1.07936,4.34088,0.631924,4.0846,0.810602,2.27019,0.373232,2.26522,0.343804,295.996,21.3506,67.9336,435.745,3.24735,7.76384,0.50753,7.46129,23.25
64.13,0.72,16.55,4.91,0.17,0.5,2.01,6.55,4.26,0.2,85.7,155,18.5,60.7,12.7,4.34,10.5,1.78,10.4,1.94,5.57,0.842,5.36,0.805,206,54.6,69,1178,13.7,128,8.56,10.5,23.3
67.25,0.39,16.85,3.68,0.1,1.42,5.24,3.27,1.69,0.1,20.9828,39.8902,4.38992,16.4262,3.14435,0.816154,2.55838,0.386224,2.62072,0.567375,1.55959,0.256837,1.67409,0.257325,304.06,14.7602,78.7211,386.717,3.16491,7.87211,0.577501,8.18027,23.31
58.31,0.75,17.59,6.28,0.12,4.6,6.82,4.11,1.24,0.18,10.31,21.78,2.8,11.98,3,0.99,2.88,0.49,3.04,0.62,1.72,0.25,1.58,0.26,579,18,15,373,2.95,5,0.23,1.41,23.35
62.55,0.57,18.28,4.67,0.1,2.34,6.96,2.8,1.61,0.11,20.1725,38.2581,4.41744,16.8539,3.22527,0.914501,3.10513,0.437179,3.06519,0.581859,1.87344,0.273154,1.84586,0.290237,322.987,17.7791,70.1287,437.564,3.15234,7.90183,0.491943,7.09688,23.38
63.44,0.51,18.17,4.77,0.12,1.9,6.45,3.11,1.42,0.13,19.5184,36.6356,4.53457,17.9968,3.47245,1.0572,3.14593,0.455273,2.91612,0.57188,1.74714,0.289601,1.9375,0.295713,313.917,17.4398,58.7447,405.706,3.33311,6.4252,0.433904,6.36998,23.38
66.58,0.41,17.14,3.58,0.09,1.43,5.38,3.45,1.84,0.11,21.199,41.704,4.53879,16.3747,2.91784,0.828636,2.76534,0.386717,2.46533,0.468703,1.33516,0.226588,1.53492,0.239293,309.243,14.7258,79.5196,515.404,3.28513,7.85378,0.543325,8.33489,23.38
58.36,0.76,17.96,6.04,0.12,4.06,6.84,4.44,1.22,0.21,11.48,24.24,3.13,13.66,3.35,1.12,3.3,0.53,3.19,0.68,1.84,0.26,1.67,0.28,560,17,15,410,3.15,3,0.35,1.52,23.49
66.29,0.42,18.04,3.84,0.09,1.33,5.43,3.04,1.44,0.07,21.1431,40.0913,4.49627,16.9426,3.17372,0.905666,2.78781,0.393101,2.39404,0.468684,1.42836,0.231311,1.57968,0.230812,315.869,14.6236,67.2684,488.427,3.70617,7.79924,0.589082,7.51793,23.51
66.25,0.44,17.48,3.55,0.09,1.51,5.69,3.16,1.73,0.11,22.3467,42.1942,4.74737,17.4268,3.34345,0.893975,3.03,0.43359,2.76685,0.514366,1.59868,0.253822,1.69709,0.259173,313.377,14.8755,80.3277,499.817,3.40607,8.9253,0.657913,8.30802,23.54
66.38,0.45,17.15,3.76,0.1,1.63,5.57,3.12,1.74,0.11,21.7402,41.6612,4.68804,17.3146,3.27422,0.853639,3.0053,0.423692,2.70798,0.542823,1.54794,0.239758,1.71641,0.254699,307.398,16.8573,79.3286,504.728,3.46392,8.92446,0.609349,8.01216,23.54
59.38,0.54,16.24,8,0.2,4.46,8.07,2.43,0.6,0.09,13.7939,39.204,6.21282,30.9679,8.26951,1.06702,8.24701,1.32334,8.7157,1.7437,4.97937,0.73018,4.88524,0.680263,288.548,47.9249,25.9593,244.617,2.57576,7.98749,0.315751,1.93569,23.54
68.36,0.59,15.33,3.62,0.09,1.03,3.27,4.32,3.27,0.11,42.2777,74.6979,8.27337,28.6091,5.56236,1.23121,5.14392,0.803773,4.9069,1.0833,3.15625,0.48898,3.23563,0.50268,259.229,29.5048,101.368,869.701,5.21472,17.0986,0.822399,16.4535,23.54
67.15,0.62,15.3,4.44,0.1,1.39,3.85,3.9,3.15,0.08,43.7712,75.8851,8.70023,30.0745,5.84417,1.18973,5.36139,0.831674,5.02724,1.11032,3.2449,0.501378,3.29327,0.508313,284.497,29.7978,106.143,896.527,5.51674,17.6355,0.836285,17.6168,23.54
