SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Sr,Y,Rb,Ba,Hf,Nb,Ta,Th,Crustal_Thickness
58.78,1.33,16.39,6.33,0.09,3.36,5.88,4.28,3.06,0.5,15.7246,33.7513,4.30612,18.008,3.70295,1.07187,3.38552,0.472441,2.78689,0.547151,1.40818,0.203291,1.35108,0.199603,526,17,21,476,2.79116,3,0.344395,2.16387,56.55
59.29,1.32,16.79,6.21,0.09,2.9,5.58,4.37,2.96,0.49,18.77,40.51,4.34,16.95,3.06,0.9,2.2,0.33,1.85,0.36,1,0.15,0.9,0.14,556,15,75,817,1.76,7,0.69,5.69,56.56
66.1,0.66,16.35,3.63,0.07,1.35,3.57,4.18,3.82,0.26,28.6113,49.2917,6.01479,21.864,3.66722,0.784212,3.07508,0.418033,2.57428,0.51161,1.43328,0.214925,1.47864,0.223332,276,19,140,859,1.84666,8,0.780996,13.1126,56.56
69.56,0.5,15.18,2.53,0.05,1.07,2.47,4.35,4.11,0.17,23.9,60.1,5.63,19.9,3.36,0.813,3.02,0.344,1.78,0.316,0.915,0.128,0.813,0.131,481,14,121,1074,4.17,11,0.604,10.4,56.58
59.47,1.31,16.34,6.33,0.1,3.28,5.54,4.35,2.82,0.46,30.0296,44.8318,5.35004,18.2828,2.78009,0.550588,2.21307,0.282803,1.64877,0.319839,0.923749,0.132554,0.912217,0.145241,212,13,105,1200,3.56729,9,1.12176,6.91404,56.58
56.17,1.33,17.06,7.6,0.12,4,7.28,3.76,2.31,0.37,42.427,91.3555,10.5569,39.2176,6.26634,1.43198,4.51214,0.473563,2.39636,0.397303,1.02472,0.13245,0.779355,0.120088,874,10,84,1138,4.36769,8,0.327577,8.22171,56.61
59.24,1.25,16.56,6.31,0.11,3.21,5.62,4.43,2.82,0.45,18.0159,37.4433,4.40431,16.8302,3.09675,0.847059,2.81582,0.397396,2.40771,0.494407,1.45476,0.20868,1.44713,0.234769,558,17,32,1102,3.45387,6,0.395081,3.19557,56.61
58.39,1.33,16.36,6.88,0.14,3.48,5.88,4.31,2.75,0.48,27.2079,52.0859,6.20247,23.1154,4.30494,0.90579,3.68584,0.512514,3.10997,0.622852,1.78967,0.258349,1.70643,0.26917,439,22,108,861,5.16485,4,1.26468,10.0656,56.64
59.23,1.33,16.33,6.43,0.09,3.33,5.66,4.33,2.81,0.46,15.7858,33.6683,4.30868,17.3479,3.50513,0.996987,3.22927,0.467574,2.86949,0.576464,1.67564,0.235877,1.61444,0.255844,570,18,24,732,3.17707,6,0.372833,2.17726,56.64
59.3,1.25,16.49,6.37,0.11,3.24,5.66,4.28,2.84,0.46,14.065,24.4981,2.03374,6.95762,1.11535,0.282856,1.42331,0.133273,0.788457,0.170204,0.474147,0.0762407,0.555524,0.0859384,147,7,53,459,1.34114,5,1.87652,5.09833,56.66
69.38,0.51,15.4,2.67,0.05,1.05,2.39,4.23,4.13,0.18,17.8092,37.5588,4.59441,18.4036,3.63318,1.02052,3.35872,0.493428,3.02892,0.620035,1.81371,0.255944,1.73077,0.270804,588,17,27,1184,3.3833,6,0.3631,2.53478,56.66
59.34,1.27,16.43,6.32,0.11,3.24,5.66,4.31,2.85,0.46,35.4703,67.2462,5.47282,17.4222,2.66902,0.332946,2.94636,0.263668,1.46923,0.298358,0.834565,0.14203,0.997306,0.153523,282,17,135,810,2.01312,10,4.76521,14.9993,56.66
70.4,0.47,14.83,2.48,0.05,1.01,2.34,4.06,4.19,0.16,15.3267,31.2227,3.47835,11.8191,1.86596,0.330402,1.46418,0.197049,1.18672,0.234597,0.710616,0.110134,0.774268,0.121693,209,14,109,1121,3.19695,11,0.734992,5.15651,56.69
59.54,1.29,16.5,5.88,0.08,3.17,5.5,4.58,2.99,0.48,11.55,21.8168,2.62168,9.00076,1.43141,0.238817,1.13131,0.159212,0.98209,0.200396,0.615535,0.0959515,0.694721,0.110976,154,14,105,1084,3.67145,7,0.486289,3.12309,56.69
58.85,1.34,16.71,6.28,0.09,3.21,5.68,4.45,2.9,0.48,19.8516,45.7791,5.22372,19.3393,3.68087,0.77042,3.20563,0.44985,2.74205,0.553076,1.5997,0.234384,1.55788,0.244075,339,20,121,655,4.9544,6,1.32044,9.17249,56.69
58.61,1.35,16.69,6.62,0.1,3.43,6.07,3.99,2.67,0.48,14.3662,29.0559,3.17292,11.4838,2.04571,0.535401,1.64428,0.211314,1.19457,0.222263,0.631752,0.0887947,0.607792,0.0902566,569,13,268,1835,2.64372,12,0.3939,4.78853,56.69
61.33,1.12,16.88,5.32,0.08,2.24,4.69,4.51,3.39,0.44,42.535,82.5,8.656,28.948,4.572,1.06,3.919,0.483,3.036,0.51,1.545,0.253,1.434,0.217,370.303,16.598,164.252,655.5,4.794,22.154,2.076,18.874,56.69
57.29,1.4,16.53,7.33,0.11,4.08,6.46,4.13,2.25,0.41,23,49,5.8,23,4.7,1.3,4,0.63,3.3,0.61,1.7,0.26,1.7,0.25,634,17,39,506,3.9,6.7,0.4,3.37,56.71
68.98,0.55,15.31,2.84,0.05,1.14,2.61,4.28,4.03,0.2,21.8532,43.3072,5.06518,19.5098,3.34505,0.838028,2.74684,0.359275,2.13559,0.408089,1.1346,0.166308,1.1068,0.171749,590.17,15.4,59.53,1031.51,4.08558,8.21,0.477022,4.40669,56.74
56.88,1.41,16.7,7.38,0.1,4.04,6.61,4.17,2.28,0.43,20.9402,44.5727,5.13967,20,3.54418,0.90872,2.92362,0.387047,2.33827,0.459192,1.24947,0.187054,1.2233,0.194893,579.37,16.32,65.28,828.25,4.01264,7.14,0.489849,4.81311,56.74
68.87,0.55,15.25,2.79,0.05,1.12,2.59,4.37,4.23,0.17,16.4425,30.8226,3.79377,13.7293,2.25791,0.492218,1.7887,0.227451,1.2782,0.258503,0.673807,0.107091,0.76499,0.115171,158.64,7.91901,72.2097,939.365,5.77635,9.03066,0.339399,6.38088,56.74
56.97,1.41,16.62,7.37,0.1,4.08,6.55,4.16,2.3,0.42,18.01,46.97,3.82,13.21,2.09,0.54,1.67,0.23,1.28,0.24,0.71,0.1,0.73,0.11,336,13,121,1091,4.96,14,1.02,7.14,56.77
56.97,1.41,16.48,7.66,0.14,4.08,6.44,4.14,2.26,0.42,21.2968,49.3571,5.99581,23.6731,4.86251,1.23841,6.1,0.532414,2.96561,0.567303,1.60102,0.232188,1.54338,0.22511,672,19,54,621,3.40341,8,0.540621,5.37409,56.77
64.52,0.94,15.8,4.33,0.07,1.97,3.94,4.49,3.55,0.39,15.7071,28.6924,2.97309,9.39883,1.57197,0.12315,1.41299,0.166814,0.923483,0.180423,0.515791,0.0818471,0.560544,0.0867649,530,5,98,90,1.54779,10,1.3506,10.702,56.77
60.53,1.16,16.46,5.86,0.09,2.92,5.22,4.32,3.03,0.41,4.4739,9.6261,0.975311,3.41542,0.514593,0.176954,0.364152,0.0455981,0.318575,0.0716579,0.229366,0.0430508,0.359523,0.0602791,212,4,127,870,2.43383,8,1.08124,3.89215,56.77
60.36,1.17,16.33,5.79,0.09,2.99,5.29,4.25,3.29,0.44,30.7323,66.6207,7.70609,28.5438,5.06146,1.19024,6.3,0.468291,2.44041,0.450266,1.26071,0.17671,1.19189,0.170307,646,18,101,1120,4.10302,10,0.591667,9.55946,56.79
60.54,1.15,16.22,5.64,0.08,2.96,5.19,4.6,3.2,0.41,18.6368,43.59,5.25886,20.9165,4.42862,1.10696,5.5,0.513077,2.93051,0.570609,1.63472,0.233724,1.54966,0.232673,567,20,58,715,3.61678,8,0.50676,6.42295,56.79
60,1.18,16.65,5.69,0.08,3.06,5.36,4.29,3.24,0.45,28.2451,63.2003,7.33052,27.387,5.06166,1.31604,6.4,0.503678,2.61255,0.505843,1.39454,0.204958,1.34767,0.202665,629,20,115,1228,4.32611,8,0.585257,5.5488,56.79
60.79,1.15,16.25,5.63,0.08,2.94,5.22,4.18,3.34,0.43,18.5652,43.537,5.31356,21.0458,4.35408,1.06747,5.4,0.523526,2.91269,0.566874,1.63726,0.234457,1.55842,0.233103,561,20,61,577,3.66483,8,0.52496,6.2625,56.82
64.35,0.72,17.45,4.07,0.07,1.33,3.5,4.39,3.83,0.29,41.0242,88.2219,10.5183,41.8627,6.61872,1.74755,5.11482,0.615417,3.51719,0.642639,1.59469,0.22812,1.46602,0.222362,1742,23,49,700,2.93906,15,0.580189,3.08392,56.88
64.37,0.7,17.34,4.43,0.08,1.93,3.79,3.48,3.69,0.2,40.991,87.5897,10.0971,37.3529,6.2233,1.4067,4.77876,0.538249,2.56621,0.405405,1.06306,0.144248,0.887931,0.138053,756,13,88,1148,6.46927,8,0.326257,8.26852,56.97
65.99,0.62,16.68,3.56,0.06,1.63,3.64,4.47,3.15,0.19,76.2306,143.635,17.4138,61.4783,9.60839,1.94536,7.68238,0.671937,3.37266,0.476609,1.51833,0.149369,1.0772,0.133161,1165,14,69,1463,6.79341,9,0.606555,5.42958,57.32
66.26,0.64,16.26,3.65,0.06,1.63,3.66,4.44,3.2,0.2,20.7407,44.2159,5.59384,21.8622,4.39623,1.042,3.96197,0.573343,3.4831,0.689951,1.98054,0.273877,1.84593,0.280838,414,18,102,478,4.78736,8,0.593041,17.1122,57.54
66.25,0.64,16.18,3.69,0.06,1.68,3.64,4.39,3.27,0.2,69.3722,134.928,16.8444,61.3819,10.0189,2.07324,8.07273,0.742797,3.87497,0.557936,1.7622,0.178435,1.26159,0.15628,1109,18,47,1318,6.79169,11,0.633376,4.37515,57.54
60.42,1.19,16.96,5.56,0.08,2.58,5.32,4.65,2.74,0.5,21.7259,42.9162,5.64154,23.0237,4.25,1.17589,3.68471,0.487548,2.91589,0.569129,1.46161,0.213184,1.40684,0.216346,651,22,54,732,3.48432,7,0.450628,4.94576,57.65
65.13,0.73,16.8,3.96,0.06,1.67,3.72,4.41,3.27,0.25,57.2884,92.2874,14.3866,61.1031,10.337,2.58881,8.62795,1.00905,4.5032,0.76973,2.05481,0.224113,1.37913,0.208611,1041,16,28,897,6.07622,6,0.502682,2.44403,57.68
59.39,1.23,17.04,5.95,0.08,2.9,5.69,4.8,2.43,0.48,13.0746,27.4714,3.59596,14.8703,2.86148,0.848412,2.4807,0.330739,1.92198,0.377176,0.968956,0.141087,0.938953,0.144956,661,13,37,805,2.96593,6,0.296861,1.04757,57.74
66.96,0.75,15.11,3.79,0.06,1.66,3.12,3.8,4.54,0.22,19.1986,41.4539,5.22682,20.7161,4.30773,1.08585,3.82866,0.5641,3.29377,0.643611,1.83587,0.251895,1.61633,0.249794,538,19,67,657,4.41818,7,0.480738,6.06043,57.81
67.83,0.58,16.23,2.99,0.05,1.03,2.91,4.78,3.36,0.24,13.5025,27.4793,3.44226,13.6229,2.51372,0.650543,2.11475,0.281071,1.65035,0.325779,0.854244,0.125029,0.843305,0.127578,557,13,72,921,3.81425,6,0.374495,3.89237,58.01
67.79,0.58,15.79,3.08,0.05,1.19,3.04,4.63,3.61,0.24,12.4047,27.9046,3.49875,14.5833,2.7378,0.839793,2.31247,0.300868,1.75224,0.338432,0.839552,0.124411,0.826399,0.12603,807,11,20,585,3.04152,4,0.315695,1.00797,58.01
66.56,0.71,16.17,3.58,0.05,1.41,3.4,4.54,3.3,0.28,38.57,71.5,8.029,30.412,5.211,1.53,4.875,0.643,3.663,0.727,1.975,0.34,2.15,0.315,1161.51,23.229,218.227,869.2,6.271,18.819,1.566,15.902,58.01
66.19,0.69,16.24,3.55,0.06,1.81,3.58,4.42,3.25,0.21,37.3835,79.4961,9.46638,35.2743,6.53979,1.63945,5.18428,0.598928,2.32023,0.43456,1.1663,0.194906,0.926862,0.189658,825.246,12.3067,38.8286,1104.36,5.69618,10.0644,0.619239,4.5025,58.11
66.19,0.69,16.24,3.55,0.06,1.81,3.58,4.42,3.25,0.21,24.5,52.1,6.66,27.8,5.32,1.31,5.07,0.65,3.39,0.602,1.65,0.219,1.39,0.208,655,20,69,709,5.8,9,0.527,7.66,58.11
66.75,0.7,15.87,3.53,0.06,1.61,3.86,4.51,2.87,0.24,37.9332,83.5765,9.45289,34.5222,5.92639,2.05362,5.29288,0.645838,2.89906,0.510295,1.41333,0.203964,1.19115,0.1962,1146,15,64,1423,5.07133,14,0.686631,5.89435,58.13
61,1.03,16.42,5.45,0.08,3.33,5.81,4.39,2.12,0.38,55,105,11.9,44,7.6,1.78,5.28,0.74,3.91,0.75,1.94,0.25,1.8,0.26,717,20,181,969,8.12,20,1.64,30.1,58.13
64.2,0.82,16.25,4.28,0.07,2.35,4.57,4.47,2.69,0.3,26,59,7.4,32,7.3,2.06,6.02,0.87,4.9,0.91,2.44,0.34,2.2,0.35,1177,27,30,1110,3.71,9,0.68,5.8,58.15
67.41,0.6,15.94,3.17,0.05,1.25,3.22,4.6,3.51,0.25,15.1963,28.7942,3.90932,16.2351,3.01868,0.863208,2.55892,0.336566,1.96302,0.38632,0.966229,0.1434,0.94163,0.145437,722,14,28,736,3.03455,4,0.266368,1.04711,58.2
64.14,0.82,15.83,4.81,0.1,2.47,5.35,3.29,2.98,0.21,35,73,8.3,30,5.9,1.1,5.1,0.65,3.7,0.68,1.87,0.27,1.72,0.34,368,18,133,510,3.9,14.7,1.21,32,58.27
64.24,0.81,16.01,4.65,0.1,2.43,4.86,3.45,3.24,0.2,38,76,8.6,32,6,1.2,5.1,0.64,3.5,0.63,1.7,0.23,1.4,0.26,414,19,171,529,5.5,15.1,1.23,54,58.27
63.69,0.81,16.38,4.67,0.1,2.44,4.99,3.56,3.15,0.2,36,73,8.5,31,5.9,1.2,5.1,0.63,3.7,0.66,1.72,0.24,1.5,0.27,431,18,153,500,5.3,13.9,1.19,29,58.27
62.75,0.92,16.1,5.26,0.1,2.77,5.43,3.59,2.87,0.21,35,74,8.6,32,5.8,1.3,5.1,0.61,3.5,0.65,1.74,0.25,1.51,0.3,454,18,124,542,4.5,14.4,1.05,20,58.27
62.42,0.91,16.34,5.3,0.1,2.84,5.68,3.55,2.64,0.2,36,73,8.4,33,5.9,1.4,5.3,0.67,3.7,0.67,1.82,0.26,1.62,0.31,466,18,119,557,4.4,13.9,1.04,18,58.27
61.49,0.91,16.77,5.58,0.1,2.95,5.69,3.56,2.74,0.2,32,66,7.8,30,5.5,1.3,5.1,0.66,3.8,0.69,1.91,0.29,1.72,0.33,440,19,107,570,5.5,13,0.96,13,58.27
61,0.92,16.45,5.79,0.1,3.47,6.33,3.27,2.45,0.2,33,68,8,31,5.9,1.4,5.3,0.69,4,0.77,2.08,0.3,1.88,0.36,518,20,115,470,4.2,13.6,0.97,9,58.27
60.34,0.93,16.5,6.03,0.1,3.61,6.29,3.4,2.58,0.21,33,69,8.2,32,6.2,1.4,5.5,0.72,4.1,0.74,2.08,0.27,1.82,0.35,459,21,110,507,5.2,13.3,0.93,19,58.27
60.67,0.92,16.62,5.78,0.1,3.67,6.42,3.36,2.24,0.2,31,64,7.6,29,5.5,1.3,4.9,0.64,3.7,0.67,1.88,0.27,1.69,0.31,489,19,102,484,5.2,13,0.87,17,58.27
60.25,1.01,16.61,5.92,0.1,3.85,6.48,3.44,2.13,0.2,31,64,7.4,29,5.7,1.3,4.9,0.62,3.4,0.63,1.7,0.24,1.53,0.29,510,18,103,473,4.1,13.2,0.91,15,58.27
66.02,0.69,16.15,3.88,0.06,1.67,3.65,4.39,3.28,0.21,29.4087,59.7411,7.22124,26.6265,5.09811,1.12358,4.59854,0.519469,3.36173,0.550719,1.83096,0.213598,1.61718,0.21304,491,17,63,792,4.69098,8,0.566361,7.80041,58.4
61.22,1.12,17.33,5.49,0.08,2.56,5.16,4.32,2.44,0.28,42.4946,86.2275,10.326,38.1888,6.31174,1.39004,4.55466,0.506987,2.55103,0.417576,1.03105,0.132662,0.839507,0.120243,744,12,97,1128,4.76308,7,0.288228,8.8713,58.46
63.66,0.79,16.29,4.92,0.08,2.7,5.09,3.48,2.8,0.18,28,60,7,27,5.6,1.57,4.58,0.69,3.84,0.78,2.05,0.29,2.1,0.36,842,22,137,938,4.54,9,0.72,8.6,58.5
66.38,0.68,16.22,3.6,0.06,1.51,3.43,4.48,3.43,0.22,18.1771,37.9709,4.86888,21.3248,4.70103,1.47203,4.62423,0.723436,4.14033,0.820163,2.40409,0.323245,2.11161,0.329159,530,22,97,724,3.3041,6,0.302253,5.06601,58.51
65.85,0.69,16.18,3.81,0.06,1.77,3.67,4.4,3.35,0.22,24.5748,52.3643,6.76189,26.4882,5.54679,1.35368,5.03949,0.672962,3.51426,0.684126,1.99327,0.289391,1.89874,0.304551,508,26,67,910,6.44719,9,0.497879,4.72952,58.51
65.14,0.72,16.88,3.96,0.06,1.72,3.75,4.23,3.3,0.24,23.5304,50.5862,6.41378,25.2645,5.27559,1.224,4.92642,0.593076,4.01633,0.661766,2.17152,0.251453,1.84793,0.241581,697,18,28,619,3.91084,9,0.479759,3.44702,58.58
66.61,0.71,16.07,3.39,0.1,1.53,4.17,4.47,2.75,0.2,35,71,8,31,5.1,1.3,3.7,0.35,1.8,0.29,0.72,0.09,0.55,0.07,640,8.2,63,770,5.8,9.2,0.5,5.5,58.65
58.9,1.09,16.59,5.98,0.09,4.17,6.64,4.17,1.99,0.39,27,57,6.7,28,5.5,1.51,4.82,0.68,4.02,0.78,1.98,0.29,2,0.34,821,22,103,877,4.2,9,0.7,8.2,58.76
65.02,0.73,16.33,3.94,0.07,2.03,4.18,4.64,2.81,0.26,27,55,6.6,26,5.3,1.47,4.58,0.66,3.88,0.74,1.92,0.29,1.9,0.32,796,20,123,827,4.1,8,0.69,8.4,58.76
74.68,0.22,13.7,1.52,0.08,0.63,1.37,2.53,5.22,0.06,24.5,56.8,4.97,16.2,2.64,0.542,2.5,0.313,1.77,0.35,1.08,0.161,1.08,0.174,217,13,128,980,2.78,12,0.632,7.27,58.78
64.4,0.78,16.28,4.03,0.06,2.12,4.72,4.4,2.92,0.29,24,51,6.2,26,5.6,1.66,4.54,0.65,3.53,0.64,1.63,0.22,1.5,0.23,1150,18,91,1435,3.45,8,0.73,6.2,58.82
64.91,0.77,16.1,4.34,0.07,2.28,4.44,4.29,2.55,0.24,21,45,6,25,5.4,1.65,4.92,0.68,4.06,0.83,2.23,0.34,2.3,0.34,480,23,92,1007,3.8,8,0.58,4.5,58.82
67.09,0.61,15.93,3.4,0.1,1.53,3.98,4.39,2.76,0.2,33,67,7.7,29,4.9,1.2,3.6,0.39,1.9,0.29,0.75,0.09,0.58,0.08,630,8.5,74,770,5,9.4,0.52,5.9,59.19
64.47,0.72,16.76,4.16,0.1,1.95,5.04,4.22,2.37,0.21,24,50,5.9,26,5.2,1.2,4,0.47,2.6,0.44,1.1,0.16,1,0.14,570,12.7,62,580,4.5,9.6,0.64,5.3,59.19
68.21,0.51,15.71,3.01,0.1,1.42,3.75,4.26,2.84,0.2,31,63,7.1,27,4.3,1,3.2,0.33,1.7,0.28,0.7,0.09,0.62,0.07,590,8.2,79,760,3.8,8.9,0.54,6.9,59.32
67.41,0.61,15.76,3.2,0.1,1.53,3.76,4.37,3.05,0.2,33,66,7.5,28,4.6,1.1,3.3,0.34,1.8,0.29,0.74,0.1,0.65,0.09,600,8.4,74,760,4.8,9.2,0.53,6.7,59.39
59.09,0.76,16.51,6.41,0.12,4.7,7.12,3.42,1.68,0.19,37,70,9.6,38,6.7,1.72,4.71,0.68,3.63,0.67,4.79,0.26,1.9,0.29,1320,21,108,1023,4.95,8,0.65,8.2,59.47
59.28,0.76,16.23,6.6,0.12,4.77,7.01,3.34,1.7,0.19,26,50,5.8,24,4.5,1.35,4.09,0.64,3.56,0.71,2.08,0.29,1.9,0.33,592,22,112,765,4.08,9,0.72,10.3,59.47
61.03,0.75,16.78,5.86,0.11,3.58,6.1,3.56,2.03,0.2,27,54,5.7,22,4.1,1.17,3.05,0.4,2.43,0.45,1.25,0.2,1.2,0.21,789,14,83,1167,3.53,7,0.61,8.9,59.56
73.03,0.26,14.29,1.41,0.06,0.4,1.17,3.84,5.46,0.09,51.4,101.1,10.1,30.5,4.6,0.9,3.1,0.6,2.7,0.4,1.4,0.2,1.4,0.2,269.4,17,174.2,714.3,5.1,28.9,2.2,25.5,59.6
73.14,0.25,14.37,1.54,0.06,0.44,1.44,3.68,4.98,0.09,50.4,97.7,9.7,32,4.8,0.9,3,0.5,2.3,0.4,1.3,0.2,1.3,0.2,347.2,15.5,157.1,720.9,4.7,26.2,2,24.7,59.6
67.83,0.47,15.16,2.89,0.06,1.07,3.53,4.57,4.28,0.14,34.4,68.9,7.4,24.5,3.9,0.8,2.7,0.5,2.2,0.4,1.2,0.2,1.2,0.2,444.7,14.4,110.9,605.2,3.7,17.1,1.5,19.1,59.6
57.7,0.95,17.26,7.16,0.12,4.33,7,3.67,1.56,0.24,22,45,5.7,25,5.4,1.48,4.85,0.74,4.4,0.81,2.28,0.36,2.4,0.36,500,24,68,394,4.11,7,0.57,4.7,59.65
64.99,0.78,15.55,4.29,0.06,2.15,4.07,4.04,3.79,0.27,32.6776,69.5082,8.09677,29.721,5.75163,1.21739,5.17838,0.749451,4.56831,0.895259,2.50273,0.353458,2.30601,0.339499,457,30,137,455,4.58793,14,1.20455,23.5849,59.74
66.01,0.81,16,3.83,0.1,1.82,4.56,4.35,2.23,0.3,32,66,7.7,30,5.1,1.3,3.8,0.41,2.1,0.33,0.77,0.1,0.61,0.09,680,9.2,54,680,4.7,10.1,0.54,4.7,59.85
67.35,0.61,15.85,3.29,0.1,1.52,3.86,4.47,2.74,0.2,33,65,7.4,29,4.7,1.2,3.4,0.36,1.8,0.28,0.66,0.09,0.57,0.07,570,8.4,62,820,4.7,9.4,0.53,3.9,60.13
58.42,0.87,16.91,6.4,0.11,4.81,7.03,3.69,1.52,0.24,28.3439,59.8923,7.40197,28.6682,5.49991,1.46315,4.85581,0.652729,3.87278,0.750141,2.09916,0.292656,1.91955,0.304158,559,20,57,803,5.04184,11,0.620651,5.93395,60.25
61.21,0.72,18.09,5.17,0.1,2.53,6.04,3.98,1.92,0.24,35.3886,73.3537,8.91222,35.5598,6.78162,1.8566,6.24061,0.887343,4.77832,0.912221,2.61504,0.361532,2.33581,0.370569,558,25,63,828,5.81374,11,0.723436,7.30597,60.46
68.84,0.43,16.2,2.45,0.04,1.03,2.75,4.23,3.87,0.16,23.3514,51.3514,5.91489,21.9745,3.80388,0.894624,2.73797,0.326087,1.6973,0.290076,0.742703,0.100651,0.627027,0.0869752,544,13,86,738,2.05714,9,0.642697,5.92324,61.77
60.58,0.99,16.29,5.83,0.09,3.67,6.02,3.71,2.57,0.26,37.5062,76.5219,9.17826,36.4922,7.05098,1.8764,6.27612,0.872612,4.50087,0.789238,2.0893,0.269783,1.66019,0.248309,563,19,65,767,6.04779,10,0.640551,7.14422,61.86
59.49,1.06,16.11,6.33,0.1,4.27,6.29,3.76,2.32,0.26,25.0797,52.8408,6.5461,26.8686,5.28966,1.48028,4.99862,0.739587,4.15172,0.78184,2.22814,0.303749,1.95708,0.302439,618,21,50,681,5.02376,7,0.512794,4.73186,61.92
60.62,1.02,15.43,6.17,0.1,4.37,5.9,3.67,2.46,0.25,22.0859,44.4293,5.34814,20.4866,3.85491,1.07531,3.40452,0.449435,2.60853,0.500828,1.36278,0.182325,1.18315,0.179725,662,17,49,705,3.77615,7,0.73139,5.46174,61.99
64.68,0.83,17.08,3.92,0.07,2.44,4.21,2.65,3.79,0.33,18.3164,39.0672,4.89774,19.6114,4.00971,1.10234,3.5989,0.490445,2.82687,0.541579,1.45005,0.193622,1.24735,0.183004,616,16,38,634,3.10601,5,0.386155,2.74944,62.03
66.57,0.71,16.02,3.48,0.05,1.58,3.74,4.74,2.86,0.25,36,73,8.5,32,5.6,1.3,3.6,0.46,2,0.32,0.8,0.1,0.6,0.1,621,8,73,770,5,7.4,0.45,5.4,62.12
64.99,0.74,15.33,5.06,0.1,2.03,5.21,3.22,3.11,0.2,36,75,8.3,32,6.4,1.4,5.4,0.83,4.9,0.89,2.6,0.38,2.5,0.37,453,25,150,430,4.38,12.92,1.56,25.99,62.12
64.33,0.71,16.47,4.67,0.1,2.18,5.03,3.21,3.13,0.17,36,76,8.9,33,6,1.3,5.5,0.86,4.8,0.94,2.6,0.39,2.5,0.37,446,24,141,439,4.2,12.5,1.1,23.7,62.12
63.43,0.74,16.49,4.94,0.1,2.36,5.32,3.44,3,0.18,36,73,8.5,32,6.3,1.4,5.4,0.87,4.9,0.95,2.6,0.39,2.6,0.39,464,25,130,441,4.3,11.8,1.02,23.3,62.12
59.6,1.14,15.78,6.87,0.11,3.62,6.61,3.44,2.53,0.27,33,73,8.2,32,6.5,1.4,5.2,0.73,3.7,0.68,1.8,0.26,1.5,0.24,513,17,103,483,4.45,12.5,2.42,19.56,62.12
60.7,0.98,16.56,5.55,0.09,3.64,6.14,3.5,2.61,0.24,37,72,9.2,35,6.6,1.4,5.4,0.66,3.7,0.7,1.8,0.26,1.6,0.24,532,19,117,473,4.37,12,0.93,21.4,62.12
60.95,0.96,16.59,5.6,0.09,3.62,5.95,3.43,2.56,0.24,38,80,9,35,6.7,1.5,5.3,0.79,3.9,0.73,1.8,0.26,1.7,0.25,530,19,114,485,4,12.5,0.95,21,62.12
64.5,0.84,15.81,4.85,0.08,2.3,4.51,3.02,3.91,0.17,49,106,12,44,8,1.3,6.9,1,5.7,1,2.9,0.4,2.6,0.4,315,28,260,448,7.2,17,1.23,56.4,62.36
64.8,0.77,15.47,4.95,0.07,2.32,4.38,3.07,3.98,0.18,47,102,11,42,8,1.5,6.7,1.2,5.5,1.2,2.9,0.61,2.1,0.59,317,26,220,484,7.26,18.1,2.15,57.97,62.36
62.37,0.94,16.66,5.25,0.08,2.78,5.41,3.43,2.86,0.21,37,75,8.9,33,6.3,1.3,5,0.76,3.5,0.64,1.7,0.26,1.6,0.26,449,17,136,492,4.4,12.5,0.95,25.1,62.36
59.27,0.93,17.24,6.51,0.11,3.55,6.59,3.19,2.4,0.19,33,74,8.5,33,6.4,1.5,5.5,0.93,4.7,0.87,2.5,0.35,2.3,0.33,516,23,108,457,4.4,11.1,0.76,19.8,62.36
59,0.95,16.91,6.7,0.11,3.69,6.61,3.43,2.4,0.2,34,72,8.4,32,6.2,1.4,5.4,0.85,4.7,0.87,2.4,0.36,2.2,0.32,526,23,106,467,4.3,11.4,0.77,20.1,62.36
59.07,0.96,16.81,6.67,0.11,3.72,6.57,3.45,2.43,0.2,34,73,8.15,32,6.2,1.4,5.7,0.85,4.6,0.86,2.4,0.35,2.2,0.33,486,23,107,468,4.3,11.6,0.8,20.7,62.36
58.76,0.88,17.15,6.76,0.11,3.66,6.82,3.29,2.35,0.21,32,68,7.8,31,5.9,1.4,5.1,0.79,4.4,0.82,2.3,0.33,2.1,0.3,539,22,91,440,4.26,11.14,2.55,20.6,62.96
64.84,0.62,16.35,4.12,0.07,2.06,4,4.62,3.15,0.18,22,47,6.2,26,5.8,1.8,5.6,0.93,5.2,1,2.9,0.41,2.6,0.4,532,26,33,455,5.2,12,0.5,2.7,63.19
63.65,0.69,16.5,4.76,0.09,2.32,4.79,4.21,2.8,0.19,27.0769,58.2624,7.42039,28.6054,5.02185,0.786368,3.89404,0.531377,3.12203,0.575411,1.5025,0.228239,1.51261,0.225823,217,26,167,1148,8.72195,17,0.855959,10.5121,63.74
63.74,0.76,16.19,4.83,0.08,2.59,4.63,4.12,2.84,0.21,24.9057,50.4041,6.01183,21.7322,3.48289,0.572737,2.74475,0.363821,2.16366,0.405469,1.11062,0.175221,1.20135,0.18563,854,16,127,1091,4.73171,14,0.664249,8.95754,63.86
